date,open,close,high,low,volume
2026-02-12,20.48,20.4,20.72,20.23,41053400.0
2026-02-11,20.37,20.3,20.54,20.28,28223500.0
2026-02-10,20.45,20.37,20.52,20.25,26030600.0
2026-02-09,20.59,20.45,20.73,20.4,37261300.0
2026-02-06,20.0,20.42,20.65,20.0,36487500.0
2026-02-05,21.22,20.32,21.22,20.25,60610600.0
2026-02-04,21.12,21.22,21.29,20.94,46131500.0
2026-02-03,20.95,21.23,21.29,20.76,56304600.0
2026-02-02,21.05,20.93,21.85,20.86,67215800.0
2026-01-30,22.0,21.27,22.03,20.7,88531700.0
2026-01-29,22.81,22.05,23.08,22.02,89239100.0
2026-01-28,23.02,22.92,23.2,22.7,71501300.0
2026-01-27,23.66,23.2,23.69,22.73,107420800.0
2026-01-26,24.0,23.94,24.85,23.58,156042300.0
2026-01-23,23.06,23.8,23.99,22.97,148958100.0
2026-01-22,22.8,23.27,23.49,22.55,137592800.0
2026-01-21,23.6,22.92,23.6,22.5,162577500.0
2026-01-20,21.95,23.68,24.0,21.55,263192300.0
2026-01-19,21.27,21.9,22.33,21.22,141393300.0
2026-01-16,21.4,21.26,21.97,21.25,137499000.0
2026-01-15,20.98,20.97,21.29,20.78,64267100.0
2026-01-14,21.3,21.09,21.7,20.92,118542300.0
2026-01-13,21.69,21.4,22.68,20.86,167672000.0
2026-01-12,21.33,21.69,21.7,20.95,116545400.0
2026-01-09,21.48,21.32,21.75,21.2,90163300.0
2026-01-08,21.73,21.5,22.08,21.34,98882700.0
2026-01-07,20.77,21.69,22.2,20.6,142052400.0
2026-01-06,20.09,20.79,20.93,20.03,116501900.0
2026-01-05,19.98,20.09,20.2,19.9,76540900.0
2025-12-31,20.08,20.02,20.3,19.76,75884400.0
2025-12-30,20.43,20.18,20.43,20.04,88654900.0
2025-12-29,22.0,20.76,22.19,20.52,178209200.0
2025-12-26,19.88,21.86,21.86,19.83,185882300.0
2025-12-25,19.85,19.87,20.07,19.72,48644100.0
2025-12-24,19.65,19.84,19.97,19.4,45805300.0
2025-12-23,19.63,19.7,19.83,19.52,38727100.0
2025-12-22,19.59,19.68,19.84,19.46,46587900.0
2025-12-19,19.13,19.61,19.63,19.13,54160900.0
2025-12-18,19.21,19.1,19.38,19.03,42424500.0
2025-12-17,19.12,19.34,19.44,18.98,48951500.0
2025-12-16,19.8,19.16,19.83,18.96,74854400.0
2025-12-15,20.19,19.88,20.5,19.85,55152900.0
2025-12-12,20.0,20.28,20.42,19.71,70238300.0
2025-12-11,20.33,19.91,20.66,19.9,58782400.0
2025-12-10,20.47,20.35,20.53,19.98,63482700.0
2025-12-09,20.2,20.49,20.62,20.11,80267700.0
