date,open,close,high,low,volume
2026-02-12,8.67,8.56,8.68,8.48,20547000.0
2026-02-11,8.67,8.65,8.7,8.61,14731000.0
2026-02-10,8.6,8.64,8.66,8.56,15048200.0
2026-02-09,8.53,8.58,8.6,8.48,13882300.0
2026-02-06,8.6,8.56,8.66,8.5,17407400.0
2026-02-05,8.38,8.58,8.59,8.36,33124600.0
2026-02-04,8.24,8.35,8.37,8.23,20659600.0
2026-02-03,8.36,8.24,8.38,8.2,28609900.0
2026-02-02,8.5,8.36,8.54,8.32,42867200.0
2026-01-30,8.52,8.59,8.73,8.4,49961900.0
2026-01-29,8.31,8.51,8.52,8.28,54014500.0
2026-01-28,8.33,8.32,8.39,8.26,43713100.0
2026-01-27,8.4,8.32,8.48,8.3,26467900.0
2026-01-26,8.49,8.4,8.5,8.38,37769800.0
2026-01-23,8.57,8.49,8.6,8.45,33709000.0
2026-01-22,8.61,8.56,8.69,8.53,24430600.0
2026-01-21,8.79,8.6,8.83,8.58,30151400.0
2026-01-20,8.71,8.76,8.82,8.65,26781700.0
2026-01-19,8.78,8.68,8.81,8.64,27500000.0
2026-01-16,8.78,8.77,8.85,8.7,32598500.0
2026-01-15,8.92,8.77,8.95,8.76,26834100.0
2026-01-14,9.01,8.91,9.03,8.88,29189700.0
2026-01-13,9.01,9.03,9.1,8.99,18711500.0
2026-01-12,8.98,9.03,9.09,8.95,17043400.0
2026-01-09,9.12,9.03,9.12,8.88,29185700.0
2026-01-08,9.17,9.08,9.19,9.07,13648700.0
2026-01-07,9.27,9.15,9.27,9.15,11481900.0
2026-01-06,9.36,9.25,9.36,9.08,35278100.0
2026-01-05,9.24,9.36,9.41,9.06,36341700.0
2025-12-31,9.16,9.29,9.33,9.15,18534500.0
2025-12-30,9.16,9.17,9.22,9.06,13401300.0
2025-12-29,9.04,9.14,9.23,9.01,22712700.0
2025-12-26,9.13,9.05,9.2,9.03,18952200.0
2025-12-25,9.19,9.13,9.2,9.1,8973600.0
2025-12-24,9.19,9.16,9.23,9.1,19278600.0
2025-12-23,9.11,9.18,9.31,9.11,14685600.0
2025-12-22,9.21,9.12,9.24,9.1,15795400.0
2025-12-19,9.36,9.21,9.39,9.2,18736900.0
2025-12-18,9.25,9.36,9.41,9.18,15725900.0
2025-12-17,9.24,9.2,9.35,9.17,18812200.0
2025-12-16,9.11,9.28,9.29,9.11,19241700.0
2025-12-15,9.27,9.11,9.32,9.07,34677500.0
2025-12-12,9.45,9.34,9.45,9.18,56750900.0
2025-12-11,9.36,9.37,9.46,9.27,30440000.0
2025-12-10,9.36,9.36,9.52,9.26,26749100.0
2025-12-09,9.52,9.34,9.55,9.3,25440500.0
2025-12-08,9.41,9.52,9.59,9.33,21454100.0
2025-12-05,9.47,9.41,9.59,9.36,21213100.0
2025-12-04,9.47,9.41,9.61,9.4,17710700.0
2025-12-03,9.54,9.45,9.65,9.42,19260800.0
2025-12-02,9.44,9.54,9.55,9.38,21218700.0
2025-12-01,9.41,9.44,9.48,9.28,27983200.0
2025-11-28,9.15,9.42,9.47,9.12,47082400.0
2025-11-27,8.92,9.15,9.2,8.9,27369900.0
2025-11-26,8.95,8.98,9.06,8.89,16131000.0
2025-11-25,8.87,8.93,9.0,8.76,28806300.0
2025-11-24,8.98,8.86,9.03,8.84,22787800.0
2025-11-21,9.15,8.98,9.15,8.91,20439100.0
2025-11-20,8.96,9.06,9.16,8.91,22351000.0
2025-11-19,8.89,8.96,9.05,8.83,18349100.0
2025-11-18,8.94,8.89,8.98,8.85,11668700.0
2025-11-17,9.14,8.92,9.14,8.89,19004400.0
2025-11-14,9.11,9.14,9.21,9.04,19076100.0
2025-11-13,9.04,9.08,9.11,8.99,16270200.0
2025-11-12,9.1,9.04,9.15,9.04,14752400.0
2025-11-11,9.03,9.07,9.15,9.0,12928800.0
2025-11-10,8.89,9.09,9.15,8.84,29099300.0
2025-11-07,8.84,8.87,9.0,8.82,20322600.0
2025-11-06,8.84,8.84,8.89,8.77,20630600.0
2025-11-05,8.75,8.86,8.93,8.73,28554900.0
2025-11-04,8.65,8.75,8.77,8.58,23429600.0
2025-11-03,8.54,8.61,8.63,8.47,18147700.0
2025-10-31,8.54,8.53,8.58,8.43,20442100.0
2025-10-30,8.54,8.49,8.58,8.45,16865600.0
2025-10-29,8.69,8.52,8.69,8.48,19319600.0
2025-10-28,8.77,8.7,8.8,8.66,20327000.0
2025-10-27,8.85,8.76,8.88,8.71,23788700.0
2025-10-24,8.8,8.86,8.9,8.75,22676800.0
2025-10-23,8.83,8.8,8.87,8.75,17260800.0
2025-10-22,8.78,8.84,8.87,8.78,15335700.0
2025-10-21,8.79,8.75,8.84,8.74,18834200.0
2025-10-20,8.8,8.79,8.84,8.6,26892300.0
2025-10-17,8.8,8.86,8.89,8.79,29603000.0
2025-10-16,8.63,8.81,8.84,8.61,31994200.0
2025-10-15,8.57,8.65,8.68,8.51,35458500.0
2025-10-14,8.28,8.58,8.59,8.19,57693400.0
2025-10-13,8.09,8.28,8.34,8.02,41334200.0
2025-10-10,8.12,8.11,8.2,8.1,28201700.0
2025-10-09,8.16,8.12,8.23,8.1,29754100.0
2025-09-30,8.32,8.18,8.33,8.13,25529100.0
2025-09-29,8.24,8.32,8.33,8.19,21359600.0
2025-09-26,8.37,8.26,8.37,8.17,23218400.0
2025-09-25,8.439,8.379,8.449,8.309,20853400.0
2025-09-24,8.329,8.429,8.489,8.329,24474300.0
2025-09-23,8.349,8.369,8.439,8.289,27972500.0
2025-09-22,8.239,8.349,8.389,8.209,30143300.0
2025-09-19,8.169,8.239,8.239,8.099,17963700.0
2025-09-18,8.259,8.169,8.269,8.129,23364300.0
2025-09-17,8.319,8.249,8.339,8.239,17316900.0
2025-09-16,8.349,8.319,8.369,8.299,19479000.0
2025-09-15,8.419,8.319,8.449,8.309,25977300.0
2025-09-12,8.499,8.439,8.529,8.429,20752000.0
2025-09-11,8.469,8.499,8.539,8.439,24365000.0
2025-09-10,8.519,8.489,8.539,8.459,18058000.0
2025-09-09,8.499,8.509,8.529,8.449,17961700.0
2025-09-08,8.479,8.469,8.589,8.419,25305800.0
2025-09-05,8.559,8.479,8.579,8.439,24440000.0
2025-09-04,8.659,8.579,8.679,8.469,36790300.0
2025-09-03,8.819,8.699,8.849,8.619,41467400.0
2025-09-02,8.539,8.849,8.859,8.479,81459500.0
2025-09-01,8.459,8.509,8.659,8.399,56099100.0
2025-08-29,8.479,8.459,8.659,8.449,36442100.0
2025-08-28,8.409,8.519,8.529,8.369,38274800.0
2025-08-27,8.529,8.429,8.529,8.389,37801700.0
2025-08-26,8.599,8.519,8.619,8.519,23717400.0
2025-08-25,8.539,8.619,8.639,8.519,27573100.0
2025-08-22,8.639,8.559,8.659,8.499,30891000.0
2025-08-21,8.539,8.639,8.669,8.499,31007900.0
2025-08-20,8.499,8.529,8.609,8.479,30377900.0
2025-08-19,8.569,8.519,8.599,8.489,24191600.0
2025-08-18,8.589,8.599,8.649,8.559,29737400.0
2025-08-15,8.709,8.599,8.709,8.469,37667600.0
2025-08-14,8.769,8.709,8.799,8.709,22617900.0
2025-08-13,8.809,8.769,8.819,8.769,18960800.0
2025-08-12,8.809,8.809,8.859,8.769,21869600.0
2025-08-11,8.959,8.809,8.999,8.779,34833300.0
2025-08-08,9.059,8.979,9.079,8.939,16090500.0
2025-08-07,9.099,9.039,9.119,9.019,14392300.0
2025-08-06,9.139,9.089,9.179,9.059,14621400.0
2025-08-05,9.029,9.139,9.149,8.979,22947900.0
2025-08-04,8.819,8.999,9.089,8.819,37250700.0
2025-08-01,8.819,8.829,8.909,8.769,23379000.0
2025-07-31,8.889,8.849,8.969,8.779,30381700.0
2025-07-30,8.899,8.909,9.019,8.869,26643400.0
2025-07-29,9.099,8.899,9.149,8.859,38283200.0
2025-07-28,9.109,9.119,9.289,9.069,26103600.0
2025-07-25,9.169,9.139,9.219,9.099,21206800.0
2025-07-24,9.399,9.189,9.429,9.129,37278200.0
2025-07-23,9.389,9.399,9.519,9.359,22893200.0
2025-07-22,9.589,9.399,9.589,9.379,24069200.0
2025-07-21,9.659,9.589,9.699,9.539,20830500.0
2025-07-18,9.649,9.659,9.709,9.579,13109600.0
2025-07-17,9.629,9.619,9.709,9.579,19907700.0
2025-07-16,9.659,9.659,9.739,9.559,18090400.0
2025-07-15,9.739,9.669,9.809,9.659,17539800.0
2025-07-14,9.659,9.719,9.839,9.659,23944800.0
2025-07-11,9.809,9.709,9.999,9.689,37301400.0
2025-07-10,9.809,9.809,9.849,9.729,24478300.0
2025-07-09,9.699,9.799,9.809,9.699,14867900.0
2025-07-08,9.819,9.749,9.829,9.679,17734300.0
2025-07-07,9.849,9.799,9.879,9.719,18869700.0
2025-07-04,9.729,9.829,9.919,9.709,28017800.0
2025-07-03,9.639,9.699,9.799,9.559,29057000.0
2025-07-02,9.639,9.619,9.719,9.609,22274000.0
2025-07-01,9.529,9.649,9.669,9.459,23090200.0
2025-06-30,9.379,9.459,9.479,9.309,25612700.0
2025-06-27,9.759,9.489,9.809,9.479,44879500.0
2025-06-26,9.636,9.746,9.786,9.566,29899000.0
2025-06-25,9.626,9.686,9.736,9.566,26649600.0
2025-06-24,9.566,9.656,9.666,9.476,35660600.0
2025-06-23,9.546,9.616,9.636,9.446,35630200.0
2025-06-20,9.456,9.596,9.596,9.446,38846900.0
2025-06-19,9.486,9.476,9.526,9.416,24656300.0
2025-06-18,9.436,9.486,9.506,9.336,25452400.0
2025-06-17,9.576,9.436,9.696,9.406,26775400.0
2025-06-16,9.366,9.596,9.646,9.276,69782300.0
2025-06-13,9.616,9.366,9.676,9.266,272102800.0
2025-06-12,9.706,9.626,9.746,9.616,61490000.0
2025-06-11,9.786,9.676,9.826,9.656,38872700.0
2025-06-10,9.816,9.786,9.926,9.756,41145500.0
2025-06-09,9.616,9.786,9.856,9.466,46434100.0
2025-06-06,9.666,9.566,9.686,9.396,61323600.0
2025-06-05,9.936,9.536,9.996,9.386,93533900.0
2025-06-04,9.466,9.936,10.076,9.396,175130800.0
2025-06-03,8.796,9.426,9.426,8.796,138251500.0
2025-05-30,8.376,8.526,8.576,8.366,34862700.0
2025-05-29,8.486,8.356,8.506,8.346,22206300.0
2025-05-28,8.456,8.486,8.566,8.396,17313600.0
2025-05-27,8.416,8.476,8.586,8.416,17357700.0
2025-05-26,8.576,8.416,8.616,8.396,21708500.0
2025-05-23,8.616,8.606,8.766,8.556,25579000.0
2025-05-22,8.366,8.626,8.666,8.316,35115900.0
