date,close,volume
2026-02-12,79.8,18878400.0
2026-02-11,79.69,19806600.0
2026-02-10,80.19,30618400.0
2026-02-09,79.16,33467000.0
2026-02-06,79.54,31256600.0
2026-02-05,80.45,42919800.0
2026-02-04,79.81,38910300.0
2026-02-03,77.91,34503700.0
2026-02-02,77.85,34591600.0
2026-01-30,77.59,53250800.0
2026-01-29,77.88,62244100.0
2026-01-28,75.34,62893700.0
2026-01-27,76.1,32580700.0
2026-01-26,76.35,47313200.0
2026-01-23,76.78,37370700.0
2026-01-22,77.49,34404100.0
2026-01-21,77.78,36808600.0
2026-01-20,79.0,45535800.0
2026-01-19,77.62,33637400.0
2026-01-16,77.31,37186900.0
2026-01-15,77.22,36031400.0
2026-01-14,77.15,53968400.0
2026-01-13,76.2,94571200.0
2026-01-12,78.62,52501400.0
2026-01-09,79.77,34108100.0
2026-01-08,79.03,31253700.0
2026-01-07,79.37,40196800.0
2026-01-06,78.84,45452500.0
2026-01-05,78.68,44294700.0
2025-12-31,78.15,28775800.0
2025-12-30,78.85,21362200.0
2025-12-29,78.41,25697400.0
2025-12-26,78.87,21410700.0
2025-12-25,78.59,22675800.0
2025-12-24,78.8,21704700.0
2025-12-23,79.65,25468000.0
2025-12-22,79.16,24503700.0
2025-12-19,79.45,27801800.0
2025-12-18,79.83,21409800.0
2025-12-17,80.47,23028200.0
2025-12-16,79.96,21423100.0
2025-12-15,80.41,36554700.0
2025-12-12,79.32,32895900.0
2025-12-11,79.3,27294500.0
2025-12-10,80.07,24572000.0
2025-12-09,80.2,35647900.0
2025-12-08,81.81,27336500.0
2025-12-05,82.23,24616500.0
2025-12-04,81.89,28918000.0
2025-12-03,82.17,36866000.0
2025-12-02,81.56,37804900.0
2025-12-01,80.0,30352000.0
2025-11-28,79.86,18126700.0
2025-11-27,79.8,31646100.0
2025-11-26,79.8,32072800.0
2025-11-25,78.7,29101200.0
2025-11-24,78.56,36773900.0
2025-11-21,78.75,43949500.0
2025-11-20,77.94,26192900.0
2025-11-19,77.4,21441500.0
2025-11-18,77.4,23590400.0
2025-11-17,77.93,26109500.0
2025-11-14,78.74,27312700.0
2025-11-13,79.11,33337000.0
2025-11-12,79.0,73784700.0
2025-11-11,76.74,22770800.0
2025-11-10,76.84,39100800.0
2025-11-07,75.71,26442000.0
2025-11-06,76.54,35511100.0
2025-11-05,75.45,26615100.0
2025-11-04,74.67,30260600.0
2025-11-03,74.9,28197000.0
2025-10-31,75.91,50974200.0
2025-10-30,74.81,49965300.0
2025-10-29,73.91,27358700.0
2025-10-28,73.92,23365800.0
2025-10-27,74.39,34055300.0
2025-10-24,74.12,24483800.0
2025-10-23,74.4,34763300.0
2025-10-22,73.39,39329800.0
2025-10-21,72.42,28394700.0
2025-10-20,72.38,29755700.0
2025-10-17,72.31,27649100.0
2025-10-16,72.69,34678000.0
2025-10-15,72.43,37633300.0
2025-10-14,72.11,51909500.0
2025-10-13,71.32,48160500.0
2025-10-10,72.34,43330500.0
2025-10-09,72.14,61593900.0
2025-09-30,72.17,50610800.0
2025-09-29,73.24,46593900.0
2025-09-26,73.71,47698300.0
2025-09-25,72.35,47860700.0
2025-09-24,73.61,30628500.0
2025-09-23,73.04,42147700.0
2025-09-22,72.77,47974000.0
2025-09-19,73.86,38847800.0
2025-09-18,73.25,60084000.0
2025-09-17,73.86,57722700.0
2025-09-16,73.97,45602800.0
2025-09-15,74.68,48068000.0
2025-09-12,75.08,59117100.0
2025-09-11,76.53,45960500.0
2025-09-10,76.53,27154200.0
2025-09-09,76.69,38315000.0
2025-09-08,76.54,55029400.0
2025-09-05,75.73,46425200.0
2025-09-04,75.1,44353900.0
2025-09-03,75.13,50488100.0
2025-09-02,75.67,80590900.0
2025-09-01,73.54,77625900.0
2025-08-29,73.22,56766900.0
2025-08-28,73.01,43298700.0
2025-08-27,72.22,48841900.0
2025-08-26,73.31,46293800.0
2025-08-25,73.03,70023400.0
2025-08-22,71.6,39138900.0
2025-08-21,71.43,33801400.0
2025-08-20,71.73,40377000.0
2025-08-19,72.19,53760300.0
2025-08-18,71.35,54299800.0
2025-08-15,71.81,27470000.0
2025-08-14,71.84,45514900.0
2025-08-13,71.33,25384700.0
2025-08-12,71.44,24047600.0
2025-08-11,71.27,17912400.0
2025-08-08,71.09,20118400.0
2025-08-07,70.99,20361600.0
2025-08-06,71.21,22135800.0
2025-08-05,70.89,19174800.0
2025-08-04,70.45,19776600.0
2025-08-01,70.3,28644700.0
2025-07-31,69.7,69477700.0
2025-07-30,71.62,41132500.0
2025-07-29,70.75,39836900.0
2025-07-28,71.45,37773600.0
2025-07-25,72.27,24456200.0
2025-07-24,73.02,29069900.0
2025-07-23,73.01,36987200.0
2025-07-22,72.7,35720400.0
2025-07-21,72.06,30897100.0
2025-07-18,72.34,21951200.0
2025-07-17,72.14,24730000.0
2025-07-16,72.4,20688800.0
2025-07-15,72.72,24901000.0
2025-07-14,72.61,23373900.0
2025-07-11,71.99,32055400.0
2025-07-10,71.19,23151400.0
2025-07-09,71.31,27205300.0
2025-07-08,71.73,25686700.0
2025-07-07,72.06,21545300.0
2025-07-04,72.99,21146200.0
2025-07-03,72.4,17936900.0
2025-07-02,72.01,26615500.0
2025-07-01,71.62,18625200.0
2025-06-30,71.71,19302300.0
2025-06-27,71.79,22364000.0
2025-06-26,72.61,22672600.0
2025-06-25,72.69,24327500.0
2025-06-24,72.31,27050100.0
2025-06-23,71.23,21054500.0
2025-06-20,71.89,22986400.0
2025-06-19,70.84,21125300.0
2025-06-18,71.61,17528800.0
2025-06-17,71.57,32639500.0
2025-06-16,70.77,25020500.0
2025-06-13,70.99,30045200.0
2025-06-12,71.71,34702900.0
2025-06-11,71.521,26308300.0
2025-06-10,71.081,32107400.0
2025-06-09,71.431,46695600.0
2025-06-06,71.731,27555900.0
2025-06-05,71.281,23580300.0
2025-06-04,71.591,36755400.0
2025-06-03,71.941,56190800.0
2025-05-30,75.091,21573300.0
2025-05-29,75.011,25167700.0
2025-05-28,75.351,24044900.0
2025-05-27,74.511,20644900.0
2025-05-26,74.301,24168900.0
2025-05-23,74.921,29974600.0
2025-05-22,75.391,23403400.0
2025-05-21,74.831,20543800.0
2025-05-20,74.701,27799500.0
2025-05-19,73.611,26308600.0
2025-05-16,72.631,23866000.0
2025-05-15,72.531,20490200.0
2025-05-14,73.121,29249600.0
2025-05-13,73.141,25527800.0
2025-05-12,72.611,27223900.0
2025-05-09,71.831,24563900.0
2025-05-08,71.031,27707600.0
2025-05-07,70.391,30028100.0
2025-05-06,70.081,34641200.0
2025-04-30,69.651,47810000.0
2025-04-29,70.231,23497400.0
2025-04-28,69.261,23966000.0
2025-04-25,68.781,17097200.0
2025-04-24,68.981,23180800.0
2025-04-23,67.881,22586900.0
2025-04-22,67.751,22615500.0
2025-04-21,67.421,17751400.0
2025-04-18,66.951,15448400.0
2025-04-17,66.981,19591300.0
2025-04-16,67.031,26672900.0
2025-04-15,67.511,34366700.0
2025-04-14,65.951,34883500.0
2025-04-11,66.521,29562600.0
2025-04-10,67.121,45084900.0
2025-04-09,65.701,57884000.0
2025-04-08,66.261,74473300.0
2025-04-07,63.211,88089700.0
2025-04-03,69.391,56598900.0
2025-04-02,71.991,26853600.0
2025-04-01,71.421,55181700.0
2025-03-31,74.531,68968400.0
2025-03-28,72.901,24911400.0
2025-03-27,72.531,25721500.0
2025-03-26,72.821,23706900.0
2025-03-25,72.891,32418600.0
2025-03-24,72.091,38734800.0
2025-03-21,71.311,38452800.0
2025-03-20,71.201,58569300.0
2025-03-19,72.541,106626100.0
2025-03-18,71.011,77931400.0
2025-03-17,67.911,34733300.0
2025-03-14,67.901,42545000.0
2025-03-13,66.041,25262200.0
2025-03-12,66.131,30130100.0
2025-03-11,66.961,25282500.0
2025-03-10,67.101,27344000.0
2025-03-07,66.821,31482700.0
2025-03-06,67.171,40239900.0
2025-03-05,67.781,28618600.0
2025-03-04,68.001,30042000.0
2025-03-03,67.031,40591800.0
2025-02-28,69.081,50647900.0
2025-02-27,68.511,65248200.0
2025-02-26,66.151,40412400.0
2025-02-25,65.061,56599900.0
2025-02-24,66.921,46937700.0
2025-02-21,66.621,55339000.0
2025-02-20,67.261,31420200.0
2025-02-19,67.481,33715000.0
2025-02-18,67.931,29346500.0
2025-02-17,68.071,40235800.0
2025-02-14,68.521,23435100.0
2025-02-13,68.171,41066400.0
2025-02-12,69.311,22807300.0
2025-02-11,69.731,30044000.0
